source_file,activity_type,start_time,sport,total_timer_time,total_distance,total_calories,total_ascent,altitude_min,altitude_max,enhanced_avg_speed,avg_heart_rate,max_heart_rate,num_laps,active_time,avg_cadence,avg_flow,avg_fractional_cadence,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_temperature,avg_vertical_oscillation,avg_vertical_ratio,end_position_lat,end_position_long,enhanced_avg_respiration_rate,enhanced_max_respiration_rate,enhanced_max_speed,enhanced_min_respiration_rate,event,event_type,first_lap_index,max_cadence,max_fractional_cadence,max_running_cadence,max_speed,max_temperature,message_index,metabolic_calories,min_temperature,nec_lat,nec_long,sport_profile_name,start_position_lat,start_position_long,sub_sport,swc_lat,swc_long,timestamp,total_anaerobic_training_effect,total_cycles,total_descent,total_elapsed_time,total_fractional_ascent,total_fractional_descent,total_grit,total_strides,total_training_effect,training_load_peak,trigger,workout_feel,workout_rpe
2026-06-01-08-12_Running.fit,Running,2026-06-01T06:12:12.000Z,running,2164.412,5012.06,332,8,14.8,23.6,2.316,148,156,6,,77,,0.0625,77,65.535,290.3,50.22,37.28,906.3,29,99.0,10.89,472604580,-3692940,33.1,41.08,2.762,22.29,lap,stop,0,85,0.0,85,65.535,31,0,43,28,472604580,-3692635,Run,472604200,-3692906,generic,472348823,-3799701,2026-06-01T06:50:49.000Z,0.0,2737,12,2164.412,0.97,0.06,,2737,3.6,107.22770690917969,activity_end,75,20
2026-06-02-19-43_StrengthTraining.fit,StrengthTraining,2026-06-02T17:43:59.000Z,training,1127.094,0.0,82,,,,0.0,100,132,19,980.856,,,,,65.535,,,,,32,,,,,,,,,lap,stop,0,,,,65.535,32,0,23,31,,,Strength,,,strength_training,,,2026-06-02T18:03:18.000Z,0.0,131,,1127.094,,,,,0.7,7.70086669921875,activity_end,,
2026-06-03-13-21_Running.fit,Running,2026-06-03T11:21:57.000Z,running,2332.185,5012.55,321,7,14.0,21.0,2.149,148,155,6,,77,,0.3125,77,65.535,315.1,50.22,40.05,839.2,32,95.6,11.31,472605523,-3693215,32.91,38.21,2.734,24.97,lap,stop,0,88,0.5,88,65.535,33,0,47,31,472605523,-3692268,Run,472605013,-3692531,generic,472349621,-3800072,2026-06-03T12:03:52.000Z,0.2,2966,8,2332.185,0.06,0.24,,2966,3.1,71.07235717773438,activity_end,75,30
2026-06-04-20-08_StrengthTraining.fit,StrengthTraining,2026-06-04T18:08:56.000Z,training,1142.281,0.0,75,,,,0.0,95,125,19,954.175,,,,,65.535,,,,,33,,,,,,,,,lap,stop,0,,,,65.535,35,0,23,32,,,Strength,,,strength_training,,,2026-06-04T18:28:07.000Z,0.0,172,,1142.281,,,,,0.5,5.674163818359375,activity_end,,
2026-06-05-09-34_Running.fit,Running,2026-06-05T07:34:48.000Z,running,2061.157,5013.38,318,7,11.6,19.4,2.432,147,153,6,,84,,0.859375,84,65.535,267.8,50.55,37.82,862.7,25,88.3,10.03,472605623,-3693188,29.3,43.84,3.238,20.77,lap,stop,0,88,0.0,88,65.535,30,0,41,23,472605623,-3691480,Run,472604505,-3691990,generic,472349364,-3798934,2026-06-05T08:13:14.000Z,0.0,2886,7,2061.157,0.37,0.34,,2886,3.5,105.72660827636719,activity_end,75,20
2026-06-06-11-33_Running.fit,Running,2026-06-06T09:33:51.000Z,running,3233.783,7005.4,459,78,110.8,163.4,2.166,146,159,8,,75,,0.34375,75,65.535,,,,,32,,,473814248,-4164541,,,3.004,,lap,stop,0,125,0.0,125,65.535,34,0,65,30,473992455,-3983435,Run,473812457,-4161833,generic,473812457,-4165537,2026-06-06T10:29:58.000Z,0.0,4098,80,3233.783,0.63,0.42,,4098,3.5,105.32614135742188,activity_end,75,30
2026-06-08-09-29_Running.fit,Running,2026-06-08T07:29:04.000Z,running,2080.783,5013.0,319,7,13.4,20.0,2.409,148,155,6,,82,,0.8203125,82,65.535,272.5,50.54,37.57,876.1,30,90.6,10.18,472605779,-3693315,31.19,37.6,2.762,18.91,lap,stop,0,86,0.0,86,65.535,31,0,42,28,472605779,-3691202,Run,472604067,-3691202,generic,472348078,-3798321,2026-06-08T08:08:24.000Z,0.0,2844,6,2133.267,0.16,0.13,,2844,3.4,102.01422119140625,activity_end,75,20
2026-06-09-18-20_StrengthTraining.fit,StrengthTraining,2026-06-09T16:20:16.000Z,training,1336.804,0.0,117,,,,0.0,109,142,37,1009.664,,,,,65.535,,,,,32,,,,,,,,,lap,stop,0,,,,65.535,32,0,27,31,,,Strength,,,strength_training,,,2026-06-09T16:42:38.000Z,0.0,221,,1336.804,,,,,1.2,14.616180419921875,activity_end,,
2026-06-10-09-26_Running.fit,Running,2026-06-10T07:26:11.000Z,running,3245.321,7184.44,477,67,10.6,54.0,2.214,148,159,8,,78,,0.5,78,65.535,292.9,50.27,38.33,843.8,28,93.0,10.94,472605945,-3694730,33.95,40.27,2.948,23.32,lap,stop,0,88,0.5,88,65.535,30,0,65,27,472605945,-3633421,Run,472604656,-3691897,generic,472337760,-3786972,2026-06-10T08:26:50.000Z,0.0,4202,68,3424.081,0.61,0.14,,4202,3.6,112.91958618164062,activity_end,75,20
2026-06-11-16-08_StrengthTraining.fit,StrengthTraining,2026-06-11T14:08:09.000Z,training,1323.689,0.0,129,,,,0.0,115,146,37,1120.001,,,,,65.535,,,,,31,,,,,,,,,lap,stop,0,,,,65.535,32,0,27,28,,,Strength,,,strength_training,,,2026-06-11T14:30:19.000Z,0.0,245,,1323.689,,,,,1.7,19.668167114257812,activity_end,,
2026-06-12-09-16_Running.fit,Running,2026-06-12T07:16:19.000Z,running,2150.506,5016.65,320,5,14.6,20.0,2.333,149,157,6,,80,,0.1875,80,65.535,284.8,50.43,37.81,877.9,30,97.7,10.97,472605924,-3693170,33.94,38.98,2.827,24.23,lap,stop,0,87,0.0,87,65.535,31,0,43,29,472605924,-3692008,Run,472604587,-3692008,generic,472348966,-3797987,2026-06-12T07:57:15.000Z,0.0,2843,7,2150.506,0.2,0.34,,2843,3.3,90.42625427246094,activity_end,50,20
2026-06-13-08-20_Running.fit,Running,2026-06-13T06:20:57.000Z,running,4127.251,8584.74,594,141,9.2,52.0,2.08,148,160,9,,74,,0.375,74,65.535,318.5,50.49,40.03,834.4,29,93.5,11.16,472605511,-3693515,33.79,42.6,2.948,18.9,lap,stop,0,95,0.0,95,65.535,31,0,83,26,472605511,-3629537,Run,472603892,-3691645,generic,472338760,-3786929,2026-06-13T07:32:40.000Z,0.0,5057,144,4127.251,0.58,0.82,,5057,3.8,131.3258819580078,activity_end,75,30
2026-06-15-07-41_Running.fit,Running,2026-06-15T05:41:13.000Z,running,2109.693,5010.28,319,7,14.6,21.6,2.375,149,162,6,,78,,0.0,78,65.535,283.8,49.78,37.27,906.2,27,105.2,11.45,472605516,-3692951,33.32,39.71,2.641,23.76,lap,stop,0,82,0.0,82,65.535,30,0,43,26,472605516,-3691665,Run,472603781,-3691665,generic,472349092,-3799437,2026-06-15T06:23:21.000Z,0.0,2742,6,2109.693,0.14,0.22,,2742,3.3,96.35104370117188,activity_end,75,20
2026-06-19-20-12_Running.fit,Running,2026-06-19T18:12:32.000Z,running,2296.5,5006.11,320,7,14.2,20.4,2.18,146,163,6,,79,,0.7734375,79,65.535,287.3,50.55,38.46,827.2,29,92.2,11.08,472606470,-3694325,31.83,39.9,2.538,15.35,lap,stop,0,84,0.5,84,65.535,32,0,46,28,472606470,-3692634,Run,472603514,-3693134,generic,472349584,-3799276,2026-06-19T18:55:47.000Z,0.0,3025,5,2317.156,0.99,0.31,,3025,3.1,75.36714172363281,activity_end,50,20
2026-06-19-20-56_Biking.fit,Biking,2026-06-19T18:56:00.000Z,cycling,1188.895,5779.5,168,17,14.2,22.8,4.861,139,163,2,,,,,,65.535,,,,,28,,,472612670,-3692897,27.6,36.91,6.727,19.64,lap,stop,0,,,,65.535,31,0,24,26,472620477,-3683696,Bike,472608806,-3693948,generic,472327978,-3809166,2026-06-19T19:16:13.000Z,0.4,,15,1188.895,0.06,0.59,,,2.6,54.90763854980469,activity_end,,
2026-06-20-20-32_Running.fit,Running,2026-06-20T18:32:04.000Z,running,3760.393,8013.39,544,107,8.6,51.2,2.131,149,162,9,,75,,0.0625,75,65.535,315.0,50.43,39.84,852.1,30,91.2,10.68,472613690,-3701369,32.71,40.73,3.032,20.09,lap,stop,0,97,0.0,97,65.535,31,0,76,29,472613690,-3630193,Run,472603967,-3692248,generic,472338618,-3786954,2026-06-20T19:35:54.000Z,0.2,4652,110,3799.247,0.15,0.42,,4652,3.6,124.44180297851562,activity_end,75,20
2026-06-22-20-00_Running.fit,Running,2026-06-21T18:00:36.000Z,running,2197.753,5004.49,318,7,11.4,18.8,2.277,146,159,6,,79,,0.8984375,79,65.535,282.7,50.3,37.52,860.1,31,98.9,11.35,472605871,-3697121,29.68,39.66,2.491,18.87,lap,stop,0,82,0.5,82,65.535,32,0,44,31,472605871,-3693880,Run,472601328,-3694119,generic,472349379,-3799053,2026-06-21T18:39:24.000Z,0.0,2895,6,2197.753,0.53,0.22,,2895,3.1,80.8953857421875,activity_end,75,20
2026-06-23-20-01_StrengthTraining.fit,StrengthTraining,2026-06-24T18:01:31.000Z,training,1537.023,0.0,100,,,,0.0,96,126,37,1133.155,,,,,65.535,,,,,32,,,,,,,,,lap,stop,0,,,,65.535,33,0,31,31,,,Strength,,,strength_training,,,2026-06-24T18:27:18.000Z,0.0,255,,1537.023,,,,,0.5,6.0338287353515625,activity_end,,
2026-06-24-19-45_Running.fit,Running,2026-06-23T17:45:52.000Z,running,4144.419,6234.68,556,272,86.4,290.2,1.504,145,170,1,,50,,0.9453125,50,65.535,,,,,32,,,472821331,-3985889,,,3.032,,lap,stop,0,125,0.0,125,65.535,34,0,84,31,473000055,-3773346,Trail Run,472820767,-3987300,trail,472820766,-3987300,2026-06-23T19:13:10.000Z,0.0,4014,266,4389.133,0.36,0.4,,4014,3.8,137.6142578125,activity_end,75,30
2026-06-25-18-56_StrengthTraining.fit,StrengthTraining,2026-06-26T16:56:07.000Z,training,1782.459,0.0,101,,,,0.0,91,121,36,1332.246,,,,,65.535,,,,,32,,,,,,,,,lap,stop,0,,,,65.535,33,0,36,31,,,Strength,,,strength_training,,,2026-06-26T17:25:55.000Z,0.0,223,,1782.459,,,,,0.3,3.9898223876953125,activity_end,,
2026-06-26-17-29_Running.fit,Running,2026-06-25T15:29:15.000Z,running,2264.667,5125.49,318,11,1.6,13.6,2.263,148,163,6,,79,,0.5,79,65.535,285.8,50.82,37.59,854.7,33,96.1,11.13,470747854,-4075896,28.13,39.57,2.697,18.26,lap,stop,0,85,0.0,85,65.535,36,0,46,31,470817811,-4068440,Run,470749184,-4071507,generic,470705039,-4302146,2026-06-25T16:23:04.000Z,0.0,2970,12,3176.043,0.77,0.51,,2970,2.9,64.34898376464844,activity_end,75,30
2026-06-27-19-49_Running.fit,Running,2026-06-27T17:49:40.000Z,running,6610.213,12418.29,911,508,157.4,521.8,1.879,151,178,1,,65,,0.921875,65,65.535,,,,,31,,,473780824,-4396553,,,3.396,,lap,stop,0,123,0.5,123,65.535,33,0,133,29,473848714,-4393493,Trail Run,473777616,-4395897,trail,473619530,-4746311,2026-06-27T19:42:00.000Z,0.3,7593,506,6610.213,0.51,0.43,,7593,4.3,188.62625122070312,activity_end,75,50
