source_file,activity_type,start_time,sport,total_timer_time,total_distance,total_calories,total_ascent,altitude_min,altitude_max,enhanced_avg_speed,avg_heart_rate,max_heart_rate,num_laps,active_time,avg_cadence,avg_flow,avg_fractional_cadence,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_temperature,avg_vertical_oscillation,avg_vertical_ratio,end_position_lat,end_position_long,enhanced_avg_respiration_rate,enhanced_max_respiration_rate,enhanced_max_speed,enhanced_min_respiration_rate,event,event_type,first_lap_index,max_cadence,max_fractional_cadence,max_running_cadence,max_speed,max_temperature,message_index,metabolic_calories,min_temperature,nec_lat,nec_long,sport_profile_name,start_position_lat,start_position_long,sub_sport,swc_lat,swc_long,timestamp,total_anaerobic_training_effect,total_cycles,total_descent,total_elapsed_time,total_fractional_ascent,total_fractional_descent,total_grit,total_strides,total_training_effect,training_load_peak,trigger,workout_feel,workout_rpe
2026-01-03-08-03_Running.fit,Running,2026-01-03T07:03:52.000Z,running,12353.265,19662.75,1569,1030,219.6,588.2,1.592,143,172,1,,44,,0.4296875,44,65.535,,,,,23,,,473468560,-5080000,,,3.798,,lap,stop,0,125,0.0,125,65.535,26,0,248,20,473868591,-4505171,Trail Run,473469762,-5080680,trail,473468560,-5086298,2026-01-03T10:30:00.000Z,0.8,11464,1027,12353.265,0.49,0.84,,11464,5.0,258.9117431640625,activity_end,75,40
2026-01-05-18-10_StrengthTraining.fit,StrengthTraining,2026-01-05T17:10:20.000Z,training,1192.27,0.0,160,,,,0.0,133,164,20,1072.27,,,,,65.535,,,,,25,,,,,27.94,40.12,,14.17,lap,stop,0,,,,65.535,26,0,24,25,,,Strength,,,strength_training,,,2026-01-05T17:30:20.000Z,0.7,178,,1192.27,,,,,2.4,49.0189208984375,activity_end,,
2026-01-10-08-04_Running.fit,Running,2026-01-10T07:04:47.000Z,running,15114.5,22937.75,1878,1318,157.6,712.8,1.518,145,189,1,,42,,0.0859375,42,65.535,,,,,21,,,473473092,-5083560,,,3.9,,lap,stop,0,125,0.0,125,65.535,25,0,303,16,473868273,-4395045,Trail Run,473473039,-5081362,trail,473471489,-5085748,2026-01-10T11:18:00.000Z,0.5,12979,1311,15114.5,0.07,0.94,,12979,5.0,297.48870849609375,activity_end,50,50
2026-01-12-16-03_Running.fit,Running,2026-01-12T15:03:43.000Z,running,2070.649,5008.16,329,3,14.6,21.0,2.419,155,161,6,,81,,0.078125,81,65.535,285.1,50.19,38.42,896.9,26,98.1,10.75,472605565,-3693581,34.36,39.16,2.678,22.44,lap,stop,0,84,0.0,84,65.535,27,0,42,25,472605565,-3691909,Run,472603757,-3691924,generic,472349307,-3799400,2026-01-12T15:40:27.000Z,0.0,2773,7,2070.649,0.49,0.53,,2773,3.3,93.52308654785156,activity_end,50,20
2026-01-15-13-14_Running.fit,Running,2026-01-15T12:14:51.000Z,running,4129.857,10006.24,651,38,-0.8,18.4,2.423,152,162,11,,81,,0.0546875,81,65.535,285.1,50.66,38.47,896.2,27,100.4,11.01,472606973,-3701671,34.27,40.57,2.911,18.9,lap,stop,0,86,0.5,86,65.535,30,0,83,23,472620706,-3112445,Run,472607502,-3705490,generic,472526074,-3705490,2026-01-15T13:25:42.000Z,0.0,5527,33,4170.262,0.27,0.41,,5527,3.9,145.6853790283203,activity_end,75,20
2026-01-17-07-36_Running.fit,Running,2026-01-17T06:36:23.000Z,running,10801.771,17597.55,1400,909,333.2,788.0,1.629,143,190,1,,47,,0.1484375,47,65.535,,,,,21,,,473450730,-5167770,,,3.62,,lap,stop,0,125,0.0,125,65.535,26,0,217,17,473791135,-5070169,Trail Run,473449630,-5167468,trail,473449630,-5514756,2026-01-17T09:39:42.000Z,0.3,9909,897,10801.771,0.08,0.84,,9909,4.9,230.92471313476562,activity_end,50,40
2026-01-19-12-06_Running.fit,Running,2026-01-19T11:06:50.000Z,running,2795.351,7208.71,466,16,14.6,20.2,2.579,156,178,42,,76,,0.4765625,76,65.535,266.1,50.72,36.82,979.4,23,78.8,8.35,472604229,-3692656,34.11,42.95,5.095,21.26,lap,stop,0,104,0.5,104,65.535,27,0,56,21,472607612,-3682895,Run,472607612,-3682895,generic,472240756,-3845591,2026-01-19T11:56:10.000Z,4.5,3436,15,2795.351,0.76,0.52,,3436,4.1,369.26849365234375,activity_end,75,30
2026-01-22-15-37_Running.fit,Running,2026-01-22T14:37:52.000Z,running,4899.466,12016.47,776,45,-3.2,17.0,2.453,150,162,13,,82,,0.2734375,82,65.535,281.2,50.97,38.46,896.5,26,96.4,10.56,472603434,-3682531,31.98,40.13,2.855,17.79,lap,stop,0,88,0.5,88,65.535,29,0,98,23,472752437,-3097877,Run,472608087,-3705269,generic,472525228,-3705269,2026-01-22T16:01:48.000Z,0.0,6660,49,4899.466,0.12,0.74,,6660,4.0,169.44189453125,activity_end,75,30
2026-01-25-09-11_Running.fit,Running,2026-01-25T08:11:28.000Z,running,6915.066,11288.37,918,687,296.0,577.2,1.632,142,178,1,,47,,0.734375,47,65.535,,,,,18,,,473434307,-5078724,,,4.497,,lap,stop,0,125,0.0,125,65.535,21,0,139,14,473492123,-5076977,Trail Run,473434065,-5076977,trail,473294980,-5542281,2026-01-25T10:06:59.000Z,0.7,6704,688,6915.066,0.09,0.01,,6704,3.9,170.60098266601562,activity_end,50,30
2026-01-29-13-30_Running.fit,Running,2026-01-29T12:30:24.000Z,running,2653.705,7024.94,451,14,14.2,25.8,2.647,157,179,8,,81,,0.7109375,81,65.535,279.8,50.4,38.04,963.0,26,92.7,9.52,472603511,-3692452,34.01,41.74,3.48,10.63,lap,stop,0,92,0.0,92,65.535,29,0,53,25,472606892,-3692132,Run,472606529,-3692845,generic,472249568,-3842100,2026-01-29T13:18:57.000Z,0.4,3582,13,2667.464,0.59,0.14,,3582,4.2,189.9297332763672,activity_end,50,20
