source_file,activity_type,Activity ID,Sport,Accumulated Time,Accumulated Distance [km],Accumulated Calories,Altitude Ascent [m],Altitude Min [m],Altitude Max [m],Average Pace,Average Heartrate [bpm],Maximum Heartrate [bpm],Number Laps
2026-05-11-19-17_Running.tcx,Running,2026-05-11T17:17:02.000Z,Running,39:26,5.02,320,8.80,11.00,19.80,7:51,151,171,1
2026-05-12-18-39_Running.tcx,Running,2026-05-12T16:39:56.000Z,Running,39:29,5.01,328,8.60,11.20,19.80,7:53,149,161,1
2026-05-13-19-14_Running.tcx,Running,2026-05-13T17:14:14.000Z,Running,39:49,5.01,323,8.40,11.80,20.20,7:57,152,169,1
2026-05-14-19-31_Running.tcx,Running,2026-05-14T17:31:19.000Z,Running,40:12,5.01,325,7.00,11.60,18.60,7:62,153,161,1
2026-05-15-13-10_Running.tcx,Running,2026-05-15T11:10:58.000Z,Running,32:26,5.06,317,7.80,10.20,18.00,6:25,158,181,1
2026-05-18-12-58_Running.tcx,Running,2026-05-18T10:58:32.000Z,Running,38:44,5.01,311,9.20,9.40,18.60,7:44,151,160,1
2026-05-19-18-22_Running.tcx,Running,2026-05-19T16:22:30.000Z,Running,37:55,5.01,0,7.00,11.80,18.80,7:34,157,170,1
2026-05-20-19-24_Running.tcx,Running,2026-05-20T17:24:20.000Z,Running,37:50,5.01,310,7.00,12.80,19.80,7:33,151,158,1
2026-05-21-17-27_Running.tcx,Running,2026-05-21T15:27:27.000Z,Running,37:46,5.01,0,6.20,,6.20,7:33,153,161,1
2026-05-22-09-18_Running.tcx,Running,2026-05-22T07:18:12.000Z,Running,37:04,5.01,0,9.40,11.80,21.20,7:24,148,157,1
2026-05-25-10-37_Running.tcx,Running,2026-05-25T08:37:48.000Z,Running,37:51,5.01,0,6.20,12.60,18.80,7:33,149,153,1
2026-05-26-16-55_StrengthTraining.tcx,StrengthTraining,2026-05-26T14:55:46.000Z,Other,0:00,0.00,0,,99999999999.00,,,,,0
